csv_outfile;preds;target;corrected?
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\NoFireVid16_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\NoFireVid1_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\NoFireVid2_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\NoFireVid3_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\NoFireVid5_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\NoFireVid6_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\NoFireVid7_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid54_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid68_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid53_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid51_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid21_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid22_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid23_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid24_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid25_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid26_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid27_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid28_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid29_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid30_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid31_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid32_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid33_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid34_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid35_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid36_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid37_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid38_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid42_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid43_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid44_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid45_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid46_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid47_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid48_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid49_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid50_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid52_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\NoFireVid9_results.csv;negative;negative;1
