video;frame_idx;num_frames;gt_label;NoTemp (X);Temp_Skip_module;Temp_Eager
aihub__lb_none__0175.mp4;56;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;57;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;58;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;59;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;60;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;61;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;62;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;63;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;64;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;65;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;66;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;67;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;68;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;69;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;70;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;71;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;72;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;73;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;74;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;75;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;76;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;77;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;78;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;79;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;80;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;81;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;82;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;83;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;84;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;85;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;86;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;87;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;88;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;89;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;90;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;91;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;92;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;93;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;94;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;95;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;96;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;97;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;98;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;99;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;100;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;101;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;102;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;103;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;104;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;105;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;106;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;107;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;108;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;109;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;110;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;111;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;112;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;113;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;114;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;115;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;116;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;117;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;118;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;119;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;120;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;121;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;122;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;123;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;124;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;125;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;126;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;127;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;128;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;129;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;130;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;131;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;132;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;133;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;134;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;135;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;136;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;137;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;138;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;139;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;140;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;141;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;142;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;143;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;144;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;145;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;146;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;147;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;148;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;149;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;150;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;151;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;152;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;153;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;154;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;155;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;156;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;157;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;158;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;159;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;160;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;161;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;162;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;163;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;164;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;165;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;166;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;167;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;168;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;169;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;170;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;171;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;172;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;173;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;174;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;175;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;176;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;177;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;178;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;179;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;180;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;181;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;182;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;183;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;184;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;185;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;186;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;187;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;188;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;189;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;190;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;191;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;192;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;193;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;194;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;195;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;196;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;197;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;198;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;199;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;200;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;201;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;202;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;203;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;204;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;205;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;206;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;207;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;208;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;209;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;210;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;211;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;212;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;213;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;214;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;215;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;216;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;217;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;218;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;219;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;220;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;221;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;222;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;223;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;224;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;225;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;226;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;227;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;228;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;229;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;230;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;231;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;232;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;233;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;234;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;235;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;236;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;237;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;238;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;239;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;240;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;241;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;242;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;243;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;244;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;245;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;246;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;247;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;248;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;249;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;250;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;251;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;252;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;253;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;254;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;255;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;256;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;257;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;258;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;259;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;260;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;261;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;262;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;263;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;264;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;265;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;266;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;267;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;268;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;269;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;270;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;271;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;272;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;273;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;274;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;275;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;276;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;277;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;278;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;279;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;280;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;281;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;282;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;283;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;284;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;285;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;286;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;287;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;288;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;289;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;290;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;291;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;292;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;293;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;294;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;295;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;296;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;297;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;298;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;299;360;none;smokeonly;skipped;smokeonly
MPIICooking2__lb_none__s13-d45-cam-002.avi;1623;4354;none;fire;fire;fire
MPIICooking2__lb_none__s13-d45-cam-002.avi;1801;4354;none;fire;fire;fire
MPIICooking2__lb_none__s13-d45-cam-002.avi;1802;4354;none;fire;fire;fire
MPIICooking2__lb_none__s13-d45-cam-002.avi;1803;4354;none;fire;fire;fire
MPIICooking2__lb_none__s13-d45-cam-002.avi;1983;4354;none;fire;fire;fire
MPIICooking2__lb_none__s36-d70-cam-002.avi;2797;7055;none;fire;fire;fire
MPIICooking2__lb_none__s36-d70-cam-002.avi;2853;7055;none;fire;fire;fire
MPIICooking2__lb_none__s36-d70-cam-002.avi;2855;7055;none;fire;fire;fire
MPIICooking2__lb_none__s36-d70-cam-002.avi;2905;7055;none;fire;fire;fire
MPIICooking2__lb_none__s36-d70-cam-002.avi;2906;7055;none;fire;fire;fire
MPIICooking2__lb_none__s36-d70-cam-002.avi;2961;7055;none;fire;fire;fire
MPIICooking2__lb_none__s36-d70-cam-002.avi;2962;7055;none;fire;fire;fire
MPIICooking2__lb_none__s36-d70-cam-002.avi;2963;7055;none;fire;fire;fire
MPIICooking2__lb_none__s36-d70-cam-002.avi;2964;7055;none;fire;fire;fire
MPIICooking2__lb_none__s36-d70-cam-002.avi;2965;7055;none;fire;fire;fire
