experiment;Combined_Score;metric_recall (tpr);metric_fpr (false alarm rate);skip_rate;recall_retention;far_reduction_norm;w_S;w_F;w_R;delta_R;metric_accuracy;metric_f1_score;metric_fps;metric_precision;skip_proc.name;skip_proc.params.scale_factor;skip_proc.params.block_size_orig;skip_proc.params.block_ratio_th;skip_proc.params.motion.name;skip_proc.params.motion.params.diff_frame_th;skip_proc.params.motion.params.impact_plus_one;skip_proc.params.motion.params.mask_th;skip_proc.params.motion.params.max_val;skip_proc.params.motion.params.decay
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__c7656d4083cd__20260331.203240_per_frame;0.3162302069750483;0.9407331347465516;0.0073678684420883;0.283497;0.7259318828582875;0.004728152016953697;0.6;0.2;0.2;0.01;0.98207288980484;0.9552633166313172;30.63720703125;0.9702494740486144;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__62dc96513dc4__20260331.203240_per_frame;0.31285940697504827;0.9407331347465516;0.0073678684420883;0.277879;0.7259318828582875;0.004728152016953697;0.6;0.2;0.2;0.01;0.98207288980484;0.9552633166313172;30.466264724731445;0.9702494740486144;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__315e2972b28c__20260331.203240_per_frame;0.3115256069750482;0.9407331347465516;0.0073678684420883;0.275656;0.7259318828582875;0.004728152016953697;0.6;0.2;0.2;0.01;0.98207288980484;0.9552633166313172;30.400691986083984;0.9702494740486144;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__d7f2602e476e__20260331.203239_per_frame;0.30409649967918273;0.9392942786216736;0.0073503674939274;0.310448;0.5820462703704834;0.007092228025430488;0.6;0.2;0.2;0.01;0.9817941188812256;0.95453280210495;31.053787231445312;0.9702739119529724;motion_only_block_skip_proc;0.5;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__3dde7a0a8d63__20260331.203244_per_frame;0.3033869247454318;0.9363480806350708;0.0073678684420883;0.40826;0.2874264717102051;0.004728152016953697;0.6;0.2;0.2;0.01;0.981180727481842;0.9529321789741516;33.59526443481445;0.970114290714264;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__3cb97f9c73db__20260331.203244_per_frame;0.3013549963488231;0.9361425042152404;0.0073678684420883;0.41172600000000004;0.26686882972716175;0.004728152016953697;0.6;0.2;0.2;0.01;0.9811388850212096;0.9528226256370544;33.72694396972656;0.970107913017273;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__e36cc174617f__20260331.203243_per_frame;0.3010668850154865;0.9385405778884888;0.0073503674939274;0.330522;0.506676197052002;0.007092228025430488;0.6;0.2;0.2;0.01;0.9816407561302184;0.9541322588920592;31.14124298095703;0.9702507257461548;motion_only_block_skip_proc;1.0;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__f58eeef66948__20260331.203243_per_frame;0.29821028501548646;0.9385405778884888;0.0073503674939274;0.32576099999999997;0.506676197052002;0.007092228025430488;0.6;0.2;0.2;0.01;0.9816407561302184;0.9541322588920592;30.97201156616211;0.9702507257461548;motion_only_block_skip_proc;1.0;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__d1b3ebb54aef__20260331.203239_per_frame;0.29062410014521206;0.9406645894050598;0.0073678684420883;0.24310500000000002;0.7190773487091064;0.004728152016953697;0.6;0.2;0.2;0.01;0.9820589423179626;0.9552270174026488;28.64513397216797;0.9702473282814026;motion_only_block_skip_proc;0.5;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__26f88ec77181__20260331.203242_per_frame;0.2901306565456401;0.9390202164649964;0.0073503674939274;0.296307;0.5546400547027699;0.007092228025430488;0.6;0.2;0.2;0.01;0.9817383289337158;0.9543871879577636;29.175094604492188;0.9702655076980592;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__28bc190bb8e2__20260331.203241_per_frame;0.2888220459194149;0.9344295859336852;0.0073503674939274;0.447147;0.09557700157164417;0.007092228025430488;0.6;0.2;0.2;0.01;0.9808043241500854;0.9519422054290771;37.02985000610352;0.9701237678527832;motion_only_block_skip_proc;0.5;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__e1e31a481245__20260331.203239_per_frame;0.28818750014521205;0.9406645894050598;0.0073678684420883;0.23904399999999998;0.7190773487091064;0.004728152016953697;0.6;0.2;0.2;0.01;0.9820589423179626;0.9552270174026488;28.512454986572266;0.9702473282814026;motion_only_block_skip_proc;0.5;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__2011a2d70770__20260331.203244_per_frame;0.28726344538141585;0.93518328666687;0.0073678684420883;0.420214;0.17094707489012562;0.004728152016953697;0.6;0.2;0.2;0.01;0.9809437394142152;0.9523111581802368;34.09090805053711;0.97007817029953;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__0b0484d4da2f__20260331.203239_per_frame;0.28721130014521207;0.9406645894050598;0.0073678684420883;0.23741700000000002;0.7190773487091064;0.004728152016953697;0.6;0.2;0.2;0.01;0.9820589423179626;0.9552270174026488;28.412900924682617;0.9702473282814026;motion_only_block_skip_proc;0.5;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__3a574c984184__20260331.203239_per_frame;0.2849642996791828;0.9392942786216736;0.0073503674939274;0.278561;0.5820462703704834;0.007092228025430488;0.6;0.2;0.2;0.01;0.9817941188812256;0.95453280210495;29.917644500732425;0.9702739119529724;motion_only_block_skip_proc;0.5;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__d718885f6693__20260331.203243_per_frame;0.2804655207079562;0.940185010433197;0.0073678684420883;0.24216000000000001;0.6711194515228271;0.004728152016953697;0.6;0.2;0.2;0.01;0.9819613695144652;0.954972505569458;27.359289169311523;0.9702326059341432;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__2fdb8f0bccb3__20260331.203239_per_frame;0.2802080996791828;0.9392942786216736;0.0073503674939274;0.27063400000000004;0.5820462703704834;0.007092228025430488;0.6;0.2;0.2;0.01;0.9817941188812256;0.95453280210495;29.62354850769043;0.9702739119529724;motion_only_block_skip_proc;0.5;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__aa6cf68ccce3__20260331.203243_per_frame;0.27814985654564006;0.9390202164649964;0.0073503674939274;0.276339;0.5546400547027699;0.007092228025430488;0.6;0.2;0.2;0.01;0.9817383289337158;0.9543871879577636;28.486825942993164;0.9702655076980592;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__0998441ae365__20260331.203243_per_frame;0.27595505654564007;0.9390202164649964;0.0073503674939274;0.272681;0.5546400547027699;0.007092228025430488;0.6;0.2;0.2;0.01;0.9817383289337158;0.9543871879577636;28.325220108032227;0.9702655076980592;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__74a2ee2312b2__20260331.203243_per_frame;0.2757927207079562;0.940185010433197;0.0073678684420883;0.234372;0.6711194515228271;0.004728152016953697;0.6;0.2;0.2;0.01;0.9819613695144652;0.954972505569458;27.11159896850586;0.9702326059341432;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__702a2612b10c__20260331.203243_per_frame;0.2743119207079562;0.940185010433197;0.0073678684420883;0.231904;0.6711194515228271;0.004728152016953697;0.6;0.2;0.2;0.01;0.9819613695144652;0.954972505569458;27.049409866333008;0.9702326059341432;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__5db3ce8acc00__20260331.203239_per_frame;0.2529058233486141;0.9336759448051452;0.0073503674939274;0.412408;0.020212888717640265;0.007092228025430488;0.6;0.2;0.2;0.01;0.9806510210037231;0.9515396952629088;34.75829315185547;0.9701004028320312;motion_only_block_skip_proc;0.5;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;10.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__4accba502f05__20260331.203242_per_frame;0.2458972752468075;0.9359369874000548;0.0073503674939274;0.32535899999999995;0.24631714820860706;0.007092228025430488;0.6;0.2;0.2;0.01;0.9811110496520996;0.9527462720870972;29.9648494720459;0.9701704382896424;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;10.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__714f920b98ea__20260331.203242_per_frame;0.24505112528343087;0.935594379901886;0.0073503674939274;0.33536900000000003;0.21205639839172363;0.007092228025430488;0.6;0.2;0.2;0.01;0.9810413122177124;0.9525636434555054;30.27900505065918;0.9701598286628724;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;10.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__acf03b7e73fa__20260331.203243_per_frame;0.24044780697504825;0.9407331347465516;0.0073678684420883;0.157193;0.7259318828582875;0.004728152016953697;0.6;0.2;0.2;0.01;0.98207288980484;0.9552633166313172;26.03085708618164;0.9702494740486144;motion_only_block_skip_proc;1.0;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__4bb23fe4a571__20260331.203243_per_frame;0.23861000697504825;0.9407331347465516;0.0073678684420883;0.15413;0.7259318828582875;0.004728152016953697;0.6;0.2;0.2;0.01;0.98207288980484;0.9552633166313172;25.936885833740234;0.9702494740486144;motion_only_block_skip_proc;1.0;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__b99ef3a7f0ca__20260331.203243_per_frame;0.23799080697504824;0.9407331347465516;0.0073678684420883;0.15309799999999998;0.7259318828582875;0.004728152016953697;0.6;0.2;0.2;0.01;0.98207288980484;0.9552633166313172;25.879619598388672;0.9702494740486144;motion_only_block_skip_proc;1.0;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__241221112e1d__20260331.203242_per_frame;0.22912695965232732;0.9338814616203308;0.0073503674939274;0.365926;0.040764570236206055;0.007092228025430488;0.6;0.2;0.2;0.01;0.9806928038597108;0.9516494870185852;31.323814392089844;0.9701067805290222;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;10.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__bb116e2ccac2__20260331.203242_per_frame;0.22206039284935103;0.939225733280182;0.0073503674939274;0.176006;0.5751917362213246;0.007092228025430488;0.6;0.2;0.2;0.01;0.981780171394348;0.9544963836669922;25.80978012084961;0.9702718257904052;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__13459cc7e42d__20260331.203239_per_frame;0.22185122854181627;0.94087016582489;0.0073678684420883;0.121631;0.7396349906921276;0.004728152016953697;0.6;0.2;0.2;0.01;0.982100784778595;0.9553360342979432;25.55086326599121;0.9702536463737488;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__316b36ef713b__20260331.203239_per_frame;0.22030742854181626;0.94087016582489;0.0073678684420883;0.119058;0.7396349906921276;0.004728152016953697;0.6;0.2;0.2;0.01;0.982100784778595;0.9553360342979432;25.42686080932617;0.9702536463737488;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__12e869b01b7d__20260331.203239_per_frame;0.21979322854181627;0.94087016582489;0.0073678684420883;0.118201;0.7396349906921276;0.004728152016953697;0.6;0.2;0.2;0.01;0.982100784778595;0.9553360342979432;25.38601303100586;0.9702536463737488;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__c3a4c90dbc57__20260331.203242_per_frame;0.18516159284935105;0.939225733280182;0.0073503674939274;0.114508;0.5751917362213246;0.007092228025430488;0.6;0.2;0.2;0.01;0.981780171394348;0.9544963836669922;24.27669715881348;0.9702718257904052;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;25.0;1.0
