video_path;frame_count;fps
datasets\pexels\4028453-hd_1920_1080_24fps.mp4;718;23.976023976023978
datasets\pexels\41348-429396499_large.mp4;680;29.97002997002997
datasets\pexels\4440699-hd_1920_1080_25fps.mp4;216;25.0
datasets\pexels\4482955-hd_1920_1080_24fps.mp4;390;24.0
datasets\pexels\4485487-hd_1920_1080_24fps.mp4;1436;24.0
datasets\pexels\4525902-hd_1920_1080_30fps.mp4;1018;30.0
datasets\pexels\4684200-hd_1920_1080_25fps.mp4;663;25.0
datasets\pexels\47889-452144042.mp4;988;30.0
datasets\pexels\4824124-hd_1920_1080_30fps.mp4;398;30.0
datasets\pexels\5075224-hd_1920_1080_25fps.mp4;92;25.0
datasets\pexels\5419256-hd_1920_1080_25fps.mp4;1623;25.0
datasets\pexels\5470456-hd_1920_1080_30fps.mp4;1358;29.97002997002997
datasets\pexels\5488780-hd_1920_1080_30fps.mp4;1921;29.97002997002997
datasets\pexels\5503417-hd_1280_720_30fps.mp4;454;29.97002997002997
datasets\pexels\5509723-hd_1920_1080_30fps.mp4;273;29.97002997002997
datasets\pexels\5669766-hd_1920_1080_24fps.mp4;1321;23.976023976023978
datasets\pexels\5698928-hd_1920_1080_25fps.mp4;448;25.0
datasets\pexels\5701553-hd_1920_1080_24fps.mp4;1870;23.976023976023978
datasets\pexels\5758682-hd_1080_1920_30fps.mp4;573;29.97002997002997
datasets\pexels\5806657-hd_1080_1920_25fps.mp4;394;25.0
datasets\pexels\5816532-hd_1920_1080_25fps.mp4;383;25.0
datasets\pexels\5825806-hd_1080_1920_24fps.mp4;240;23.976023976023978
datasets\pexels\5826368-hd_1920_1080_30fps.mp4;1494;29.97002997002997
datasets\pexels\5880020-hd_1920_1080_24fps.mp4;720;23.976023976023978
datasets\pexels\5950042-hd_1920_1080_24fps.mp4;234;23.976023976023978
datasets\pexels\6024944-hd_1920_1080_25fps.mp4;853;25.0
datasets\pexels\6093229-hd_1920_1080_24fps.mp4;720;24.0
datasets\pexels\6093230-hd_1920_1080_24fps.mp4;720;24.0
datasets\pexels\6093243-hd_1920_1080_24fps.mp4;1825;24.0
datasets\pexels\61413-498529688.mp4;391;25.0
datasets\pexels\6160044-uhd_3840_2160_24fps.mp4;654;24.0
datasets\pexels\6186411-hd_1920_1080_30fps.mp4;930;29.97002997002997
datasets\pexels\6218554-hd_1920_1080_30fps.mp4;648;29.97002997002997
datasets\pexels\62402-504238747_medium.mp4;172;29.97002997002997
datasets\pexels\6283922-hd_1080_1920_30fps.mp4;1195;29.97002997002997
datasets\pexels\6403563-hd_1920_1080_24fps.mp4;420;23.976023976023978
datasets\pexels\6432883-hd_1920_1080_24fps.mp4;923;24.0
datasets\pexels\6768306-hd_1080_2048_30fps.mp4;613;30.0
datasets\pexels\6768504-hd_1080_2048_30fps.mp4;747;30.0
datasets\pexels\6775923-hd_1920_1080_25fps.mp4;754;25.0
datasets\pexels\68413-528670667.mp4;1218;60.0
datasets\pexels\6967877-hd_1920_1080_30fps.mp4;892;29.97002997002997
datasets\pexels\6968181-hd_1920_1080_30fps.mp4;1110;29.97002997002997
datasets\pexels\7131681-hd_1080_2048_30fps.mp4;789;30.0
datasets\pexels\79911-570708342_small.mp4;1015;25.0
datasets\pexels\8064156-hd_1920_1080_30fps.mp4;259;30.0
datasets\pexels\854070-hd_1920_1080_25fps.mp4;304;25.0
datasets\pexels\855234-hd_1280_720_28fps.mp4;1053;28.249
datasets\pexels\8665965-hd_1920_1080_24fps.mp4;299;23.976023976023978
datasets\pexels\8943204-hd_1080_1920_30fps.mp4;534;29.97002997002997
datasets\pexels\9339477-hd_1920_1080_24fps.mp4;1124;23.976023976023978
datasets\pexels\9416733-hd_1920_1080_30fps.mp4;41;30.0
datasets\pexels\95009-644716367.mp4;647;50.0
datasets\pexels\95010-644716378.mp4;1486;50.0
datasets\pexels\9574151-hd_2048_1080_25fps.mp4;1501;25.0
datasets\pexels\97842-649761078.mp4;1284;50.0
