csv_outfile;preds;target;corrected?
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\NoFireVid11_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\NoFireVid12_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\NoFireVid14_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\NoFireVid15_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\NoFireVid16_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\NoFireVid1_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\NoFireVid2_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\NoFireVid3_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\NoFireVid5_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\NoFireVid6_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\NoFireVid7_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid54_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid68_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid53_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid51_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid21_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid22_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid23_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid24_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid25_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid26_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid27_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid28_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid29_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid30_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid31_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid32_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid33_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid34_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid35_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid36_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid37_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid38_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid42_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid43_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid44_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid45_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid46_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid47_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid48_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid49_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid50_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid52_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\NoFireVid9_results.csv;negative;negative;1
